ID,nr,datum,schlag,objekt,objnr,beschrei,zustand,bild,bemerkun,handlung,x,y,position,gpstime,ggatime,time,kunde,bearbeit,lage,da,dks,sam,sau,geom,proc
"20001351","20001351",09.02.,,Sonstiger Punkt,"35",Obstacle,,,,,,,"{""mode"":2,""speedKn"":""0.071"",""pdop"":""0.78"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.92"",""lon"":""13.8859059"",""oht"":""119.954"",""systime"":1675935749802,""time"":1675932149000,""hdop"":""0.48"",""lat"":""51.0030594"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.95443.582"",","1675932149000","1675932149000","1675935755.209408",,,,,,,,,$Format:%H$:newRecord
"20001352","20001352",09.02.,,Sonstiger Punkt,"36",ZfB1,,,,,,,"{""mode"":2,""speedKn"":""0.041"",""pdop"":""0.78"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.92"",""lon"":""13.8857356"",""oht"":""119.734"",""systime"":1675935816332,""time"":1675932215000,""hdop"":""0.48"",""lat"":""51.0031782"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.73443.582"",","1675932215000","1675932215000","1675935821.376768",,,,,,,,,$Format:%H$:newRecord
"20001353","20001353",09.02.,,Sonstiger Punkt,"37",ZfB2,,,,,,,"{""mode"":2,""speedKn"":""0.029"",""pdop"":""0.78"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.92"",""lon"":""13.8860437"",""oht"":""119.828"",""systime"":1675935871819,""time"":1675932271000,""hdop"":""0.48"",""lat"":""51.0030418"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.82843.582"",","1675932271000","1675932271000","1675935876.656841",,,,,,,,,$Format:%H$:newRecord
"20001354","20001354",09.02.,,Sonstiger Punkt,"38",ZfB3,,,,,,,"{""mode"":2,""speedKn"":""0.144"",""pdop"":""0.78"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.92"",""lon"":""13.8862077"",""oht"":""120.229"",""systime"":1675935894147,""time"":1675932293000,""hdop"":""0.48"",""lat"":""51.0029640"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.22943.582"",","1675932293000","1675932293000","1675935898.957704",,,,,,,,,$Format:%H$:newRecord
"20001355","20001355",09.02.,,Sonstiger Punkt,"39",ZfB4,,,,,,,"{""mode"":2,""speedKn"":""0.040"",""pdop"":""0.82"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8863911"",""oht"":""120.320"",""systime"":1675935925225,""time"":1675932324000,""hdop"":""0.50"",""lat"":""51.0028663"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.32043.582"",","1675932324000","1675932324000","1675935930.130719",,,,,,,,,$Format:%H$:newRecord
"20001356","20001356",09.02.,,Sonstiger Punkt,"40",ZfB5,,,,,,,"{""mode"":2,""speedKn"":""0.125"",""pdop"":""0.82"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8870689"",""oht"":""119.792"",""systime"":1675935991866,""time"":1675932391000,""hdop"":""0.50"",""lat"":""51.0024997"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.79243.582"",","1675932391000","1675932391000","1675935996.934543",,,,,,,,,$Format:%H$:newRecord
"20001357","20001357",09.02.,,Sonstiger Punkt,"41",ZfB6,,,,,,,"{""mode"":2,""speedKn"":""0.133"",""pdop"":""0.82"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8877282"",""oht"":""119.950"",""systime"":1675936041401,""time"":1675932440000,""hdop"":""0.50"",""lat"":""51.0021430"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.95043.582"",","1675932440000","1675932440000","1675936046.285059",,,,,,,,,$Format:%H$:newRecord
"20001358","20001358",09.02.,,Sonstiger Punkt,"42",ZfB7,,,,,,,"{""mode"":2,""speedKn"":""0.110"",""pdop"":""0.82"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8880845"",""oht"":""120.436"",""systime"":1675936088974,""time"":1675932488000,""hdop"":""0.50"",""lat"":""51.0019459"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.43643.582"",","1675932488000","1675932488000","1675936093.944151",,,,,,,,,$Format:%H$:newRecord
"20001359","20001359",09.02.,,Sonstiger Punkt,"43",ZfB8,,,,,,,"{""mode"":2,""speedKn"":""0.013"",""pdop"":""0.82"",""ght"":""43.581"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8881270"",""oht"":""120.829"",""systime"":1675936113942,""time"":1675932513000,""hdop"":""0.50"",""lat"":""51.0019466"",""aux"":{""source"":0,""ght"":""43.581"",""eht"":""120.82943.581"",","1675932513000","1675932513000","1675936119.629188",,,,,,,,,$Format:%H$:newRecord
"20001360","20001360",09.02.,,Sonstiger Punkt,"44",ZfB9,,,,,,,"{""mode"":2,""speedKn"":""0.090"",""pdop"":""0.82"",""ght"":""43.581"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8881794"",""oht"":""120.598"",""systime"":1675936137076,""time"":1675932536000,""hdop"":""0.50"",""lat"":""51.0019701"",""aux"":{""source"":0,""ght"":""43.581"",""eht"":""120.59843.581"",","1675932536000","1675932536000","1675936141.918245",,,,,,,,,$Format:%H$:newRecord
"20001361","20001361",09.02.,,Sonstiger Punkt,"45",ZfB10,,,,,,,"{""mode"":2,""speedKn"":""0.046"",""pdop"":""0.82"",""ght"":""43.580"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8889320"",""oht"":""120.665"",""systime"":1675936212225,""time"":1675932611000,""hdop"":""0.50"",""lat"":""51.0025371"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""120.66543.580"",","1675932611000","1675932611000","1675936217.555365",,,,,,,,,$Format:%H$:newRecord
"20001362","20001362",09.02.,,Sonstiger Punkt,"46",ZfB11,,,,,,,"{""mode"":2,""speedKn"":""0.063"",""pdop"":""0.87"",""ght"":""43.579"",""satView"":""04"",""vdop"":""1.02"",""lon"":""13.8896680"",""oht"":""120.162"",""systime"":1675936290778,""time"":1675932690000,""hdop"":""0.53"",""lat"":""51.0031073"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""120.16243.579"",","1675932690000","1675932690000","1675936295.667766",,,,,,,,,$Format:%H$:newRecord
"20001363","20001363",09.02.,,Sonstiger Punkt,"47",ZfB12,,,,,,,"{""mode"":4,""speedKn"":""0.028"",""pdop"":""1.20"",""ght"":""43.578"",""satView"":""05"",""vdop"":""1.40"",""lon"":""13.8898224"",""oht"":""118.381"",""systime"":1675936359839,""time"":1675932759000,""hdop"":""0.71"",""lat"":""51.0032204"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""118.38143.578"",","1675932759000","1675932759000","1675936366.725018",,,,,,,,,$Format:%H$:newRecord
"20001364","20001364",09.02.,,Sonstiger Punkt,"48",ZfB13,,,,,,,"{""mode"":4,""speedKn"":""0.023"",""pdop"":""1.20"",""ght"":""43.578"",""satView"":""05"",""vdop"":""1.40"",""lon"":""13.8898863"",""oht"":""118.336"",""systime"":1675936385129,""time"":1675932784000,""hdop"":""0.71"",""lat"":""51.0032436"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""118.33643.578"",","1675932784000","1675932784000","1675936391.39589",,,,,,,,,$Format:%H$:newRecord
"20001365","20001365",09.02.,,Sonstiger Punkt,"49",ZfB14,,,,,,,"{""mode"":4,""speedKn"":""0.026"",""pdop"":""1.20"",""ght"":""43.578"",""satView"":""05"",""vdop"":""1.40"",""lon"":""13.8899656"",""oht"":""118.494"",""systime"":1675936404119,""time"":1675932803000,""hdop"":""0.71"",""lat"":""51.0032322"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""118.49443.578"",","1675932803000","1675932803000","1675936409.721716",,,,,,,,,$Format:%H$:newRecord
"20001366","20001366",09.02.,,Sonstiger Punkt,"50",ZfB15,,,,,,,"{""mode"":4,""speedKn"":""0.013"",""pdop"":""1.21"",""ght"":""43.578"",""satView"":""05"",""vdop"":""1.40"",""lon"":""13.8904472"",""oht"":""118.581"",""systime"":1675936450371,""time"":1675932849000,""hdop"":""0.71"",""lat"":""51.0030240"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""118.58143.578"",","1675932849000","1675932849000","1675936457.766871",,,,,,,,,$Format:%H$:newRecord
"20001367","20001367",09.02.,,Sonstiger Punkt,"51",ZfB16,,,,,,,"{""mode"":4,""speedKn"":""0.037"",""pdop"":""1.21"",""ght"":""43.578"",""satView"":""05"",""vdop"":""1.40"",""lon"":""13.8906284"",""oht"":""118.640"",""systime"":1675936515588,""time"":1675932915000,""hdop"":""0.71"",""lat"":""51.0029351"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""118.64043.578"",","1675932915000","1675932915000","1675936521.443322",,,,,,,,,$Format:%H$:newRecord
"20001368","20001368",09.02.,,Sonstiger Punkt,"52",ZfB17,,,,,,,"{""mode"":4,""speedKn"":""0.022"",""pdop"":""1.21"",""ght"":""43.578"",""satView"":""05"",""vdop"":""1.40"",""lon"":""13.8908118"",""oht"":""118.480"",""systime"":1675936555905,""time"":1675932955000,""hdop"":""0.71"",""lat"":""51.0028612"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""118.48043.578"",","1675932955000","1675932955000","1675936561.093761",,,,,,,,,$Format:%H$:newRecord
"20001369","20001369",09.02.,,Sonstiger Punkt,"53",ZfC1,,,,,,,"{""mode"":4,""speedKn"":""0.093"",""pdop"":""1.21"",""ght"":""43.578"",""satView"":""04"",""vdop"":""1.40"",""lon"":""13.8898444"",""oht"":""118.357"",""systime"":1675936794836,""time"":1675933194000,""hdop"":""0.71"",""lat"":""51.0032734"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""118.35743.578"",","1675933194000","1675933194000","1675936800.086529",,,,,,,,,$Format:%H$:newRecord
"20001370","20001370",09.02.,,Sonstiger Punkt,"54",ZfC2,,,,,,,"{""mode"":4,""speedKn"":""0.276"",""pdop"":""1.21"",""ght"":""43.578"",""satView"":""04"",""vdop"":""1.40"",""lon"":""13.8897864"",""oht"":""118.311"",""systime"":1675936815101,""time"":1675933214000,""hdop"":""0.71"",""lat"":""51.0033066"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""118.31143.578"",","1675933214000","1675933214000","1675936820.01308",,,,,,,,,$Format:%H$:newRecord
"20001371","20001371",09.02.,,Sonstiger Punkt,"55",ZfC3,,,,,,,"{""mode"":2,""speedKn"":""0.041"",""pdop"":""0.82"",""ght"":""43.578"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8892872"",""oht"":""120.753"",""systime"":1675936854134,""time"":1675933253000,""hdop"":""0.49"",""lat"":""51.0035320"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""120.75343.578"",","1675933253000","1675933253000","1675936861.237884",,,,,,,,,$Format:%H$:newRecord
"20001372","20001372",09.02.,,Sonstiger Punkt,"56",ZfC4,,,,,,,"{""mode"":2,""speedKn"":""0.347"",""pdop"":""0.82"",""ght"":""43.579"",""satView"":""04"",""vdop"":""0.96"",""lon"":""13.8887041"",""oht"":""120.357"",""systime"":1675936903085,""time"":1675933302000,""hdop"":""0.49"",""lat"":""51.0037544"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""120.35743.579"",","1675933302000","1675933302000","1675936908.890673",,,,,,,,,$Format:%H$:newRecord
"20001373","20001373",09.02.,,Sonstiger Punkt,"57",ZfC5,,,,,,,"{""mode"":2,""speedKn"":""0.059"",""pdop"":""0.86"",""ght"":""43.579"",""satView"":""04"",""vdop"":""1.00"",""lon"":""13.8882398"",""oht"":""120.186"",""systime"":1675936948928,""time"":1675933348000,""hdop"":""0.50"",""lat"":""51.0039838"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""120.18643.579"",","1675933348000","1675933348000","1675936953.686813",,,,,,,,,$Format:%H$:newRecord
"20001374","20001374",09.02.,,Sonstiger Punkt,"58",ZfC6,,,,,,,"{""mode"":2,""speedKn"":""0.028"",""pdop"":""0.86"",""ght"":""43.579"",""satView"":""04"",""vdop"":""1.00"",""lon"":""13.8881110"",""oht"":""119.963"",""systime"":1675936993598,""time"":1675933393000,""hdop"":""0.50"",""lat"":""51.0039242"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""119.96343.579"",","1675933393000","1675933393000","1675936998.608747",,,,,,,,,$Format:%H$:newRecord
"20001375","20001375",09.02.,,Sonstiger Punkt,"59",ZfC7,,,,,,,"{""mode"":2,""speedKn"":""0.010"",""pdop"":""0.87"",""ght"":""43.579"",""satView"":""04"",""vdop"":""1.00"",""lon"":""13.8878966"",""oht"":""120.070"",""systime"":1675937032865,""time"":1675933432000,""hdop"":""0.50"",""lat"":""51.0037644"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""120.07043.579"",","1675933432000","1675933432000","1675937037.813478",,,,,,,,,$Format:%H$:newRecord
"20001376","20001376",09.02.,,Sonstiger Punkt,"60",ZfC8,,,,,,,"{""mode"":2,""speedKn"":""0.173"",""pdop"":""0.87"",""ght"":""43.580"",""satView"":""04"",""vdop"":""1.00"",""lon"":""13.8874275"",""oht"":""119.549"",""systime"":1675937078314,""time"":1675933477000,""hdop"":""0.50"",""lat"":""51.0034147"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""119.54943.580"",","1675933477000","1675933477000","1675937083.145935",,,,,,,,,$Format:%H$:newRecord
"20001377","20001377",09.02.,,Sonstiger Punkt,"61",ZfC9,,,,,,,"{""mode"":2,""speedKn"":""0.031"",""pdop"":""0.87"",""ght"":""43.580"",""satView"":""04"",""vdop"":""1.00"",""lon"":""13.8873119"",""oht"":""119.929"",""systime"":1675937113582,""time"":1675933512000,""hdop"":""0.50"",""lat"":""51.0034062"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""119.92943.580"",","1675933512000","1675933512000","1675937119.10005",,,,,,,,,$Format:%H$:newRecord
"20001378","20001378",09.02.,,Sonstiger Punkt,"62",ZfD1,,,,,,,"{""mode"":2,""speedKn"":""0.116"",""pdop"":""0.87"",""ght"":""43.580"",""satView"":""04"",""vdop"":""1.00"",""lon"":""13.8874239"",""oht"":""119.911"",""systime"":1675937162242,""time"":1675933561000,""hdop"":""0.50"",""lat"":""51.0033429"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""119.91143.580"",","1675933561000","1675933561000","1675937167.227972",,,,,,,,,$Format:%H$:newRecord
"20001379","20001379",09.02.,,Sonstiger Punkt,"63",ZfD2,,,,,,,"{""mode"":2,""speedKn"":""0.005"",""pdop"":""0.87"",""ght"":""43.580"",""satView"":""04"",""vdop"":""1.00"",""lon"":""13.8878611"",""oht"":""120.325"",""systime"":1675937201554,""time"":1675933600000,""hdop"":""0.50"",""lat"":""51.0031034"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""120.32543.580"",","1675933600000","1675933600000","1675937206.544349",,,,,,,,,$Format:%H$:newRecord
"20001380","20001380",09.02.,,Sonstiger Punkt,"64",ZfD3,,,,,,,"{""mode"":2,""speedKn"":""0.023"",""pdop"":""0.87"",""ght"":""43.580"",""satView"":""04"",""vdop"":""1.00"",""lon"":""13.8882236"",""oht"":""120.368"",""systime"":1675937235731,""time"":1675933635000,""hdop"":""0.50"",""lat"":""51.0029166"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""120.36843.580"",","1675933635000","1675933635000","1675937240.618908",,,,,,,,,$Format:%H$:newRecord
"20001381","20001381",09.02.,,Sonstiger Punkt,"65",ZfD4,,,,,,,"{""mode"":2,""speedKn"":""0.230"",""pdop"":""0.87"",""ght"":""43.580"",""satView"":""04"",""vdop"":""1.00"",""lon"":""13.8887661"",""oht"":""119.567"",""systime"":1675937281475,""time"":1675933680000,""hdop"":""0.50"",""lat"":""51.0026347"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""119.56743.580"",","1675933680000","1675933680000","1675937286.49642",,,,,,,,,$Format:%H$:newRecord
"20001382","20001382",09.02.,,Sonstiger Punkt,"66",ZfD5,,,,,,,"{""mode"":2,""speedKn"":""0.032"",""pdop"":""0.87"",""ght"":""43.580"",""satView"":""05"",""vdop"":""1.00"",""lon"":""13.8888331"",""oht"":""119.949"",""systime"":1675937303566,""time"":1675933703000,""hdop"":""0.50"",""lat"":""51.0026300"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""119.94943.580"",","1675933703000","1675933703000","1675937308.30512",,,,,,,,,$Format:%H$:newRecord
"20001383","20001383",09.02.,,Sonstiger Punkt,"67",ZfD6,,,,,,,"{""mode"":2,""speedKn"":""0.096"",""pdop"":""0.87"",""ght"":""43.580"",""satView"":""05"",""vdop"":""1.00"",""lon"":""13.8889128"",""oht"":""119.876"",""systime"":1675937327623,""time"":1675933727000,""hdop"":""0.50"",""lat"":""51.0026587"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""119.87643.580"",","1675933727000","1675933727000","1675937332.246003",,,,,,,,,$Format:%H$:newRecord
"20001384","20001384",09.02.,,Sonstiger Punkt,"68",ZfD7,,,,,,,"{""mode"":2,""speedKn"":""0.039"",""pdop"":""0.87"",""ght"":""43.579"",""satView"":""06"",""vdop"":""1.00"",""lon"":""13.8891221"",""oht"":""120.131"",""systime"":1675937356677,""time"":1675933756000,""hdop"":""0.50"",""lat"":""51.0028125"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""120.13143.579"",","1675933756000","1675933756000","1675937361.848345",,,,,,,,,$Format:%H$:newRecord
"20001385","20001385",09.02.,,Sonstiger Punkt,"69",ZfD8,,,,,,,"{""mode"":2,""speedKn"":""0.048"",""pdop"":""0.87"",""ght"":""43.578"",""satView"":""06"",""vdop"":""1.00"",""lon"":""13.8897393"",""oht"":""119.695"",""systime"":1675937393681,""time"":1675933793000,""hdop"":""0.50"",""lat"":""51.0032720"",""aux"":{""source"":0,""ght"":""43.578"",""eht"":""119.69543.578"",","1675933793000","1675933793000","1675937398.563159",,,,,,,,,$Format:%H$:newRecord
